id,x,y
44,-4360.2656,-2254.195
44,-4408.5234,-2209.7615
44,-4456.7812,-2165.328
44,-4505.039,-2120.8943
44,-4553.297,-2076.4607
44,-4601.5547,-2032.0271
45,1507.4612,2304.5063
45,1474.7932,2361.393
45,1442.1252,2418.2798
45,1409.4573,2475.1665
45,1376.7893,2532.0532
45,1344.1213,2588.94
46,1009.20715,3654.0747
46,950.088,3682.5044
46,890.9689,3710.934
46,831.84973,3739.3638
46,772.7306,3767.7935
46,713.61145,3796.2231
47,-1775.7751,3853.82
47,-1818.9529,3857.9998
47,-1862.1306,3862.1794
47,-1905.3083,3866.3591
47,-1948.4861,3870.5388
47,-1991.6638,3874.7185
48,-4204.885,-604.94275
48,-4266.416,-601.76794
48,-4327.9473,-598.59314
48,-4389.4785,-595.41833
48,-4451.01,-592.2435
48,-4503.7007,-586.4754
49,-4511.3945,2235.9758
49,-4554.176,2285.7063
49,-4596.957,2335.4368
49,-4639.7383,2385.1672
49,-4682.5195,2434.8977
49,-4725.301,2484.6282
50,3521.2605,-4802.553
50,3478.069,-4789.905
50,3434.8777,-4777.2563
50,3391.6863,-4764.608
50,3348.4949,-4751.9595
50,3305.3035,-4739.311
51,1711.2189,-2809.3477
51,1689.006,-2841.3203
51,1666.7931,-2873.293
51,1644.5802,-2905.2656
51,1622.3673,-2937.2383
51,1600.1544,-2969.211
52,-3932.1423,2389.9907
52,-3912.4158,2385.3071
52,-3894.2651,2378.51
52,-3878.6438,2367.499
52,-3863.719,2351.7244
52,-3849.7273,2327.382
53,3839.815,-2509.4495
53,3821.147,-2467.1252
53,3802.479,-2424.801
53,3783.811,-2382.4768
53,3765.143,-2340.1526
53,3746.475,-2297.8284
54,4277.7354,4395.309
54,4312.5244,4339.692
54,4347.3135,4284.0747
54,4382.1025,4228.4575
54,4416.8916,4172.8403
54,4451.6807,4117.223
55,-2116.3557,587.3188
55,-2116.9026,597.7045
55,-2117.4495,608.0903
55,-2117.9963,618.476
55,-2118.5432,628.86176
55,-2119.09,639.2475
56,910.49493,-2830.6914
56,966.41486,-2807.246
56,1022.3348,-2783.8008
56,1078.2546,-2760.3555
56,1134.1746,-2736.9102
56,1190.0945,-2713.4648
57,4775.273,1287.2882
57,4815.1714,1275.2804
57,4855.07,1263.2726
57,4894.9683,1251.2648
57,4934.8667,1239.257
57,4974.765,1227.2491
58,-2785.645,-1447.3864
58,-2755.563,-1433.234
58,-2725.481,-1419.0817
58,-2695.399,-1404.9293
58,-2665.317,-1390.777
58,-2635.2349,-1376.6246
59,4068.0679,2527.681
59,4056.314,2488.3762
59,4044.56,2449.0715
59,4032.8062,2409.7668
59,4021.0522,2370.4622
59,4009.2983,2331.1575
60,-2758.9893,-852.61975
60,-2718.0713,-803.69006
60,-2677.1533,-754.7604
60,-2636.2354,-705.8307
60,-2595.3174,-656.901
60,-2554.3994,-607.9713
61,1721.422,2528.7588
61,1770.3556,2551.6846
61,1819.2892,2574.6104
61,1868.2228,2597.5361
61,1917.1564,2620.462
61,1966.09,2643.3877
62,-2132.9045,331.31918
62,-2165.9983,313.4857
62,-2199.092,295.6522
62,-2232.1858,277.8187
62,-2265.2795,259.9852
62,-2298.3733,242.1519
63,3978.0596,4122.4404
63,4006.1377,4063.1536
63,4034.2158,4003.8684
63,4052.561,3956.3677
63,4051.178,3932.3894
63,4035.374,3925.5693
64,-4029.486,-1389.6959
64,-4075.0095,-1426.6061
64,-4120.5327,-1463.5162
64,-4166.056,-1500.4264
64,-4211.5796,-1537.3365
64,-4257.103,-1574.2467
65,2418.0173,560.24243
